scnno,timestamp,value,lat,lon,bearinglookup,bearing
JTMS36,2016-06-15 10:55:00,48,52.4875896386,-1.89093496837
JTMS37,2016-06-15 10:55:00,41,52.5279778627,-1.90805168129
JTMS39,2016-06-15 10:55:00,73,52.4978514067,-1.89565272206
JTMS40,2016-06-15 10:55:00,32,52.5396498138,-1.92526316332
JTMS41,2016-06-15 10:55:00,40,52.4512048778,-1.76088950376
JTMS42,2016-06-15 10:55:00,53,52.4558092375,-1.79525601799
JTMS45,2016-06-15 10:55:00,10,52.4080217778,-1.97600935393
JTMS47,2016-06-15 10:55:00,30,52.4910914038,-1.87731783044
JTMS48,2016-06-15 10:55:00,37,52.4195129478,-1.8331249208
JTMS50,2016-06-15 10:55:00,33,52.4984717015,-1.91861575346
JTMS52,2016-06-15 10:55:00,39,52.4864927595,-1.90106935041
JTMS54,2016-06-15 10:55:00,53,52.5094959733,-1.95846554267
JTMS55,2016-06-15 10:55:00,3,52.4715793729,-1.94382389362
JTMS56,2016-06-15 10:55:00,22,52.4723223425,-1.92221173318
JTMS58,2016-06-15 10:55:00,37,52.4876462725,-1.94786807923
JTMS60,2016-06-15 10:55:00,44,52.4207551798,-1.83426717935
JTMS61,2016-06-15 10:55:00,39,52.4670978802,-1.87798791621
JTMS62,2016-06-15 10:55:00,42,52.4570617338,-1.86656619551
JTMS65,2016-06-15 10:55:00,38,52.4854114698,-1.92182057682
JTMS66,2016-06-15 10:55:00,32,52.4863485062,-1.94099246094
JTMS68,2016-06-15 10:55:00,22,52.4854206162,-1.89830327741
JTMS69,2016-06-15 10:55:00,48,52.4706692294,-1.89964736148
JTMS70,2016-06-15 10:55:00,44,52.395572534,-2.00905260351
N13111A,2016-06-15 10:50:10,42,52.4620048729,-1.88225549751
N13111B,2016-06-15 10:50:10,22,52.4616740281,-1.88406669117,12,N
N13111D,2016-06-15 10:50:10,17,52.4632827706,-1.88359148194,186,S
N13112X,2016-06-15 10:50:10,59,52.4624466026,-1.88349065466,120,SE
N13112Y,2016-06-15 10:50:10,59,52.4596979997,-1.87690452817
N13121K,2016-06-15 10:50:10,54,52.4644897119,-1.8769500675
N13131E,2016-06-15 10:50:10,75,52.4578478007,-1.87011055318,148,SE
N13141W,2016-06-15 10:50:10,46,52.4614282512,-1.88099129207,124,SE
N13151H,2016-06-15 10:50:10,37,52.4656499351,-1.87744729616,164,S
N13151J,2016-06-15 10:50:10,53,52.4636892382,-1.87659904663
N13161A,2016-06-15 10:50:10,45,52.4624919854,-1.87508640566,137,SE
N13191V,2016-06-15 10:50:10,9,52.4542821168,-1.86505888068,252,W
N13192B,2016-06-15 10:50:10,50,52.4542569126,-1.86661880286,152,SE
N13211G,2016-06-15 10:50:10,31,52.4570171314,-1.86687537534,272,W
N14111X,2016-06-15 10:50:10,30,52.4598245988,-1.88666179579,155,SE
N14111Y,2016-06-15 10:50:10,82,52.4581962826,-1.88548862043,355,N
N15111C,2016-06-15 10:50:10,2,52.4529655595,-1.87793860086,83,E
N15111F,2016-06-15 10:50:10,12,52.4541131061,-1.86664866742,258,W
N15121E,2016-06-15 10:50:10,19,52.4532221267,-1.87397951093,263,W
N15121H,2016-06-15 10:50:10,2,52.4537925314,-1.87783331186,190,S
N17131Y,2016-06-15 10:50:10,10,52.4760692397,-1.89620469909,150,SE
N17131Z,2016-06-15 10:50:10,17,52.4762727571,-1.89255295194
