,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
0,N30131Q,-1.907842925,52.45846749,Scoot,"(-1.907842925, 52.458467489999997)",Bristol Road,3809693095,132337968-1
1,N82121K,-1.82726544,52.4628275,Scoot,"(-1.8272654399999999, 52.462827500000003)",Coventry Road,3796589347,376537137-0
2,N30161X,-1.910837516,52.45496368,Scoot,"(-1.910837516, 52.454963679999999)",Bristol Road,3809834021,76237620-1
3,N90151S,-1.928163838,52.54205191,Scoot,"(-1.9281638380000001, 52.542051909999998)",Walsall Road,1304214091,122660003-0
4,N90162X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
5,N74212Y,-1.847329126,52.50896454,Scoot,"(-1.847329126, 52.508964540000001)",Tyburn Road,3798194286,381239351-0
6,N74221G,-1.845840643,52.50907049,Scoot,"(-1.8458406430000001, 52.509070489999999)",Tyburn Road,3814093162,382426032-0
7,N74113P,-1.821281504,52.51581441,Scoot,"(-1.8212815040000001, 52.515814409999997)",Tyburn Road,3798147133,381239359-1
8,N39151W,-1.93517793,52.4445151,Scoot,"(-1.93517793, 52.444515100000004)",,,
9,N30151K,-1.906199262,52.45628163,Scoot,"(-1.9061992619999999, 52.456281629999999)",Pershore Road,3809804165,84953338-0
10,N53162A,-1.899597185,52.4927755,Scoot,"(-1.899597185, 52.4927755)",New John Street West,3796767975,367964153-0
11,N76131N,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
12,N57142Y,-1.933103413,52.50305663,Scoot,"(-1.9331034130000002, 52.503056630000003)",Soho Road,3806499798,382252787-3
13,N74111V,-1.825429826,52.51392372,Scoot,"(-1.8254298259999999, 52.513923720000001)",Tyburn Road,3798159127,381239356-0
14,N39161S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
15,N57131S,-1.932882518,52.50300256,Scoot,"(-1.9328825180000002, 52.503002559999999)",Soho Road,3806497306,32873178-0
16,N74121J,-1.819789753,52.51664821,Scoot,"(-1.819789753, 52.51664821)",Tyburn Road,3798128609,381239354-0
17,N30151M,-1.907719,52.45437694,Scoot,"(-1.9077189999999999, 52.454376940000003)",Pershore Road,3809823657,4020754-5
18,N53111B,-1.902056061,52.49311918,Scoot,"(-1.9020560609999999, 52.493119180000001)",New John Street West,3796806117,367965808-0
19,N82141R,-1.833194916,52.46336641,Scoot,"(-1.8331949159999998, 52.463366409999999)",Berkeley Road East,3796604914,49301782-0
20,N67111E,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
21,N41122Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
22,N74112Q,-1.827125802,52.51356661,Scoot,"(-1.8271258019999999, 52.513566609999998)",Tyburn Road,3798149609,381239358-1
23,N67111F,-1.899982782,52.51763297,Scoot,"(-1.8999827819999999, 52.517632970000001)",Aldridge Road,1369934884,231678389-0
24,N74143S,-1.818742924,52.51678146,Scoot,"(-1.8187429240000001, 52.516781459999997)",Kingsbury Road,3798110612,2417-2
25,N52121P,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
26,N53171P,-1.895386944,52.49189984,Scoot,"(-1.895386944, 52.491899840000002)",Newtown Row,3718281714,366840674-0
27,N74121L,-1.824956796,52.5143006,Scoot,"(-1.8249567959999999, 52.514300600000006)",Tyburn Road,3798145378,381239352-0
28,N72111A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
29,N84133Y,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
30,N41121X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
31,N90112W,-1.920478285,52.53579905,Scoot,"(-1.920478285, 52.535799050000001)",Walsall Road,3814059027,143628967-3
32,N30151N,-1.909849988,52.45573607,Scoot,"(-1.9098499880000002, 52.45573607)",Priory Road,3809805897,4704811-2
33,N72111C,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
34,N52121O,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
35,N57151L,-1.935165324,52.50342636,Scoot,"(-1.935165324, 52.503426359999999)",Soho Road,3806518357,382252786-2
36,N56131X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
37,N62121M,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
38,N66121X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
39,N62112A,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
40,N74111X,-1.833351446,52.51162471,Scoot,"(-1.833351446, 52.51162471)",Tyburn Road,3798164563,114320196-0
41,N44111C,-1.931148387,52.47188736,Scoot,"(-1.9311483869999999, 52.471887359999997)",Hagley Road,3797876291,267591920-0
42,N62131F,-1.896811156,52.5253256,Scoot,"(-1.8968111559999998, 52.525325600000002)",Aldridge Road,3794437633,22887951-0
43,N30141D,-1.913416759,52.45292486,Scoot,"(-1.913416759, 52.452924860000003)",Bristol Road,3809715719,37902114-2
44,N74152Y,-1.842821664,52.50866198,Scoot,"(-1.8428216640000001, 52.508661979999999)",Tyburn Road,3798188858,381239350-0
45,N13182E,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
46,N76121S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
47,N25122B,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
48,N90152T,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
49,N44121V,-1.93016231,52.47172497,Scoot,"(-1.93016231, 52.471724969999997)",Hagley Road,3797882731,212469362-1
50,N34121M,-1.937888536,52.44198137,Scoot,"(-1.937888536, 52.441981370000001)",,,
51,N81172J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
52,N34121J,-1.939494777,52.44000439,Scoot,"(-1.9394947769999999, 52.440004389999999)",Bourn Brook Walkway,1681410536,155778737-0
