Id,measurement_id,lon,lat,source,coords,Name,nodeId,wayId,direction,description,Column1,new_wayId
108,WMTG-G0512_TCAM2-Zone2,-1.805255866,52.4373696,Detector,"(-1.805255866, 52.437369599999997)",Warwick Road,3720140279,4754993-0,S/B,A41 Warwick Rd; St Bernards Rd,,368155538
109,WMTG-G0512_TCAM2-Zone1,-1.805255866,52.4373696,Detector,"(-1.805255866, 52.437369599999997)",Warwick Road,3720140279,4754993-0,S/B,A41 Warwick Rd; St Bernards Rd,,368155538
110,WMTG-E2530-Pole5-Zone1,-1.889722564,52.51312892,Detector,"(-1.8897225640000002, 52.51312892)",Aston Lane,249804615,32918153-11,E/B,Aston Ln;near Tintern Rd,,
111,WMTG-E2530-Pole10-Zone1,-1.889707492,52.51326376,Detector,"(-1.8897074919999999, 52.513263760000001)",Aston Lane,249804615,32918153-11,E/B,Aston Ln;near Tintern Rd,,
112,WMTG-G0512_TCAM1-Zone2,-1.806634736,52.43825288,Detector,"(-1.8066347359999999, 52.43825288)",Warwick Road,3720140301,34619695-1,N/B,A41 Warwick Rd; St Bernards Rd,,
113,WMTG-A0541POLE1-Zone1,-2.062945125,52.5616006,Detector,"(-2.0629451250000002, 52.561600600000006)",Oxford Street,250086322,80238279-3,S/B,Oxford St; Loxdale St,,239128400
114,WMTG-G0512_TCAM1-Zone1,-1.806634736,52.43825288,Detector,"(-1.8066347359999999, 52.43825288)",Warwick Road,3720140301,34619695-1,N/B,A41 Warwick Rd; St Bernards Rd,,
115,WMID-JTMS54,-1.997144419,52.47135883,Detector,"(-1.9971444190000001, 52.47135883)",Wolverhampton Road,2896957835,141793620-1,E/B,3B - A4123 E/B Wolverhampton Rd,,127649695
116,WMTG-A0541POLE1-Zone2,-2.062945125,52.5616006,Detector,"(-2.0629451250000002, 52.561600600000006)",Oxford Street,250086322,80238279-3,S/B,Oxford St; Loxdale St,,239128400
117,WMTG-G0144_TCAM2-Zone1,-1.776838422,52.42529077,Detector,"(-1.776838422, 52.425290769999997)",Lode Lane,,,S/B,Lode Lane; Moat Lane,,49420050
118,WMID-JTMS33,-2.088724213,52.50740204,Detector,"(-2.0887242130000003, 52.507402040000002)",King Street,2510457565,243666956-0,W/B,3A - A4101 King St Nr Chfld St,,243666959
119,WMTG-A0906-7POLE4-Zone1,-2.129418211,52.59770348,Detector,"(-2.1294182109999999, 52.59770348)",Stafford Road,,,S/B,Stafford Rd; near West St,,7982336
120,WMTG-G0144_TCAM2-Zone2,-1.776838422,52.42529077,Detector,"(-1.776838422, 52.425290769999997)",Lode Lane,,,N/B,Lode Lane; Moat Lane,,49420050
121,WMTG-G0113_TCAM1-Zone1,-1.768163689,52.41373085,Detector,"(-1.7681636890000001, 52.41373085)",Warwick Road,3802593701,4709774-2,E/B,A41 Warwick Rd; Hampton Lane,,35015879
122,WMTG-G0113_TCAM1-Zone2,-1.768163689,52.41373085,Detector,"(-1.7681636890000001, 52.41373085)",Warwick Road,3802593701,4709774-2,W/B,A41 Warwick Rd; Hampton Lane,,35015879
123,WMTG-E2906-Pole5-Zone2,-1.923687715,52.53839923,Detector,"(-1.923687715, 52.538399230000003)",Walsall Road,241596287,122660003-2,S/B,Walsall Rd;near Booths Farm Rd,,
124,WMTG-E2906-Pole5-Zone1,-1.923687715,52.53839923,Detector,"(-1.923687715, 52.538399230000003)",Walsall Road,241596287,122660003-2,N/B,Walsall Rd;near Booths Farm Rd,,
125,WMTG-E0750-Pole1-Zone2,-1.906893561,52.46902099,Detector,"(-1.906893561, 52.469020989999997)",Lee Bank Middleway,,,S/B,Lee Bank Middleway; nr Ryland Rd,,30772418
126,WMTG-E4625-Pole2-Zone1,-1.860021095,52.5488234,Detector,"(-1.860021095, 52.548823399999996)",Chester Road North,218232,14306383-11,N/B,Chester Rd N;near Kings Rd,,
127,WMTG-E1393-Pole13-Zone1,-1.97004969,52.41713636,Detector,"(-1.97004969, 52.417136360000001)",Sir Herbert Austin Way,10279013,8001777-0,S/B,Bell Ln;nr Sir Herbert Austin,,50586153
128,WMTG-D0514Pole12-Zone1,-2.121145984,52.48378362,Detector,"(-2.121145984, 52.483783619999997)",Bank Street,251061619,145315530-4,S/B,High St; Bank St; Level St,,35051934
129,WMTG-G0645_TCAM1-Zone1,-1.832289255,52.41886449,Detector,"(-1.8322892550000001, 52.418864489999997)",Stratford Road,1077015282,49053914-6,N/B,Stratford Rd; Near Tesco,,
130,WMTG-G0112_TCAM1-Zone1,-1.770471095,52.41388818,Detector,"(-1.770471095, 52.413888180000001)",Warwick Road,2648384884,23800883-9,E/B,A41 Warwick Rd; New Rd,,
131,WMTG-G0112_TCAM1-Zone2,-1.770471095,52.41388818,Detector,"(-1.770471095, 52.413888180000001)",Warwick Road,2648384884,23800883-9,W/B,A41 Warwick Rd; New Rd,,
132,WMTG-E4637-Pole4-Zone1,-1.858518221,52.54840808,Detector,"(-1.858518221, 52.548408080000002)",Jockey Road,,,E/B,Jockey Rd;near Chester Rd,,104864382
133,WMTG-C02911-TCAM1-Zone1,-2.084928238,52.47198445,Detector,"(-2.0849282380000003, 52.471984450000001)",Fox Oak Street,1652793975,152460958-9,N/B,Foxoak St; St Annes Rd,,45038491
134,WMTG-A0915POLE8-Zone1,-2.125101693,52.63195011,Detector,"(-2.125101693, 52.631950109999998)",Stafford Road,,,N/B,Stafford Rd; Springfield Ln,,150788218
135,WMTG-E1931-Pole2-Zone1,-1.845594002,52.46584647,Detector,"(-1.8455940019999999, 52.465846470000002)",Coventry Road,457043466,376525693-1,W/B,Coventry Rd;near OldKnow Rd,,
136,WMTG-E0829-Pole14-Zone1,-1.921177613,52.4743534,Detector,"(-1.9211776130000002, 52.474353399999998)",Ladywood Middleway,207993,4017690-6,S/B,Ladywood Middleway; Friston Ave,,
137,WMTG-E1654-Pole1-Zone2,-1.870169793,52.45772202,Detector,"(-1.8701697930000001, 52.457722019999999)",Stratford Road,385756144,376541392-0,N/B,Stratford Rd;near Beach Rd,,
138,WMTG-E4514-Pole1-Zone1,-1.826816011,52.53617575,Detector,"(-1.826816011, 52.536175749999998)",Birmingham Road,653270,10608481-2,N/B,Birmingham Rd;near Holifast Rd,,
139,WMTG-E1654-Pole1-Zone1,-1.870169793,52.45772202,Detector,"(-1.8701697930000001, 52.457722019999999)",Stratford Road,385756144,376541392-0,S/B,Stratford Rd;near Beach Rd,,
140,WMTG-E0829-Pole15-Zone1,-1.920456629,52.47412817,Detector,"(-1.920456629, 52.47412817)",Ladywood Middleway ,1484856870,28174155-1,N/B,Ladywood Middleway; Friston Ave,,142516887
141,WMTG-E1944-Pole7-Zone1,-1.854153118,52.46814077,Detector,"(-1.8541531180000002, 52.468140769999998)",Coventry Road,3686940760,376525694-2,W/B,Coventry Rd;near Wordsworth Rd,,12650000
142,WMTG-E0829-Pole14-Zone2,-1.921177613,52.4743534,Detector,"(-1.9211776130000002, 52.474353399999998)",Ladywood Middleway,207993,4017690-6,N/B,Ladywood Middleway; Friston Ave,,142516887
143,WMTG-E0170-Pole4-Zone1,-1.898833968,52.48517835,Detector,"(-1.8988339680000001, 52.485178349999998)",,316756111,28150878-0,W/B,Great Charles St; Old Snow Hill,,40158795
144,WMTG-E0170-Pole4-Zone2,-1.898833968,52.48517835,Detector,"(-1.8988339680000001, 52.485178349999998)",,316756111,28150878-0,E/B,Great Charles St; Old Snow Hill,,40158795
145,WMTG-B0328Pole32-Zone2,-1.976206998,52.5889082,Detector,"(-1.9762069980000001, 52.588908200000006)",,3212337839,61374908-5,N/B,Arboretum Junction,,61314327
146,WMTG-A0615POLE12-Zone2,-2.085306912,52.58364757,Detector,"(-2.0853069120000001, 52.583647569999997)",Willenhall Road,1007664671,86639183-0,W/B,Willenhall Rd; Deans Rd,,86868374
147,WMTG-A0231POLE4-Zone1,-2.153854226,52.56050132,Detector,"(-2.153854226, 52.56050132)",Stourbridge Road,2140009851,3666121-10,N/B,Penn Rd; near Manor Rd,,
148,WMTG-E0170-Pole12-Zone2,-1.900173936,52.48521545,Detector,"(-1.9001739359999998, 52.485215449999998)",Old Snow Hill,207234,23167212-1,S/B,Great Charles St; Old Snow Hill,,23167215
149,WMTG-E1944-Pole2-Zone1,-1.854491621,52.46815916,Detector,"(-1.854491621, 52.468159159999999)",Coventry Road,3794300890,12650000-0,E/B,Coventry Rd;near Wordsworth Rd,,
150,WMTG-D0422Pole5-Zone1,-2.170643096,52.50410269,Detector,"(-2.170643096, 52.504102690000003)",Wolverhampton Road ,1073199092,92441469-0,N/B,Dudley Rd; Wolverhampton Rd,,141253081
151,WMTG-E0829-Pole15-Zone2,-1.920456629,52.47412817,Detector,"(-1.920456629, 52.47412817)",Ladywood Middleway ,1484856870,28174155-1,S/B,Ladywood Middleway; Friston Ave,,142516887
152,WMTG-B0328Pole7-Zone1,-1.975454527,52.5883327,Detector,"(-1.9754545269999999, 52.588332700000002)",Lower Rushall Street,918445626,78182933-1,S/B,Arboretum Junction,,78182853
