Twitter KeyWord
a41 solihull
a41 warwick
a45 coventry
a46 northbound
a4601 m6
alcester road
aston lane
atherstone west
barr stechford
barr yardley
bell lane
bescot road
birmingham accident
birmingham congestion
birmingham delay
birmingham delays
birmingham roadworks
birmingham roadwork
birmingham traffic
black country
blake street
blakest newtn
blakest queslet
blke street
blossomfield road
bloxwich lane
blue lane
blue way
booths farm
bordersley circus
brandon road
brdsly circ
brdwy nth
brewery road
brighton street
bristol road
bristol street
brm road
bromley street
burnt tree
bypass lode
chester road
cotteridge bearwood
cotteridge stechford
cotteridge yardly
country route
coventry road
coventry road
cw bearwood
cw cotteridge
dudley road
dudley road
eastbound a45
eastbound a452
eastbound a46
eastbound j1
eastbound m1
eastbound m42
exit a38/a5206
foxoak street
frankley services
hagley road
hampton lane
herbert austin
hessian close
high street
hilton park
holyhead road
jockey road
junction b4116
kbry road
kings road
kingsbury road
knps hghwy/grn
ladywood middleway
lichfield road
lode lane
modelrailway
northbound a38/a5206
northbound a446/m42
northbound a45
northbound a452
northbound a453
northbound a4540
northbound a4601
northbound a5/m6
northbound a5148
northbound access
northbound b4116
northbound b4117
northbound b4132
northbound b4154
northbound b5080
northbound b5440
northbound exit
northbound frankley
northbound hilton
northbound j1
northbound j10
northbound j10a
northbound j11
northbound j11a
northbound j15
northbound j16
northbound j2
northbound j3
northbound j3a
northbound j4
northbound j4a
northbound j5
northbound j6
northbound j7
northbound j7a
northbound j8
northbound j9
northbound junction
northbound m1
northbound m40
northbound m42
northbound m5
northbound m54
northbound m6
northbound m69
northbound minor
northbound norton
northbound stonebridg
northbound t1
northbound t3
northbound t4
northbound t5
northbound t6
northbound t7
northbound t8
norton canes
oldhil/lionel street
oldknow road
osh summerlane
park services
penn road
perry barr
robinhodln yardly
roundabout a446/b4114
roundabout a5/a452
roundabout a5/a461
roundabout a5/b4154
roundabout m6
roundabout m6/a452
roundabout m6/a454
solihull bypass
southbound a38/a5206
southbound a446
southbound a452
southbound a46 
southbound a460 
southbound a4601
southbound a461
southbound a51
southbound a5148
southbound a5148/a5206
southbound access
southbound b4114
southbound b4117
southbound b4154
southbound b5440
southbound exit
southbound frankley
southbound hilton
southbound j1
southbound j10
southbound j10a
southbound j11
southbound j11a
southbound j12
southbound j15
southbound j16
southbound j2
southbound j3
southbound j3a
southbound j4
southbound j4a
southbound j5
southbound j6
southbound j7
southbound j7/7a
southbound j7a
southbound j8
southbound j9
southbound m1
southbound m40
southbound m5
southbound m6
southbound m69
southbound t2
southbound t3
southbound t4
southbound t5
southbound t6
southbound t7
southbound t8
spring hill
springfield lane
stafford road
station road
stbdg road
stechford lane
stechford road
stratford a34
strfd road
stuck traffic
stuck road
TextBTP
toll northbound
toll southbound
Traffeek
venture way
vicarage road
walsal road
walsall road
walsall street
walsallrd pbeeches
warwick road
warwick road
warwickrd 5b
warwickrd 9b
watford road
wd cotteridge
wellington road
wellingtonrd p
westbound a45
westbound a452
westbound access
westbound jct
westbound m1
westbound m42
westbound m6
widney lane
willenhall road
wilmot drive
WMA999
WMAlerts
wolverhampton road
wood bearwd
wood stechfd
wordsworth road
wrentham street
wy alcester
yardley wood
yardly wood
